,name,company,year,Price,kms_driven,fuel_type
0,Maruti Swift Dzire VDI,Maruti,2014,450000,145500,Diesel
1,Skoda Rapid 1.5 TDI Ambition,Skoda,2014,370000,120000,Diesel
2,Honda City 2017-2020 EXi,Honda,2006,158000,140000,Petrol
3,Hyundai i20 Sportz Diesel,Hyundai,2010,225000,127000,Diesel
4,Maruti Swift VXI BSIII,Maruti,2007,130000,120000,Petrol
5,Hyundai Xcent 1.2 VTVT E Plus,Hyundai,2017,440000,45000,Petrol
6,Maruti Wagon R LXI DUO BSIII,Maruti,2007,96000,175000,LPG
7,Maruti 800 DX BSII,Maruti,2001,45000,5000,Petrol
8,Toyota Etios VXD,Toyota,2011,350000,90000,Diesel
9,Ford Figo Diesel Celebration Edition,Ford,2013,200000,169000,Diesel
10,Renault Duster 110PS Diesel RxL,Renault,2014,500000,68000,Diesel
11,Maruti Zen LX,Maruti,2005,92000,100000,Petrol
12,Maruti Swift Dzire VDi,Maruti,2009,280000,140000,Diesel
13,Maruti Swift 1.3 VXi,Maruti,2007,200000,80000,Petrol
14,Maruti Wagon R LXI Minor,Maruti,2009,180000,90000,Petrol
15,Mahindra KUV 100 mFALCON G80 K8 5str,Mahindra,2016,400000,40000,Petrol
16,Maruti Ertiga SHVS VDI,Maruti,2016,778000,70000,Diesel
17,Hyundai i20 1.4 CRDi Asta,Hyundai,2012,500000,53000,Diesel
18,Maruti Alto LX,Maruti,2002,150000,80000,Petrol
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,2016,680000,100000,Diesel
20,Mahindra Verito 1.5 D4 BSIII,Mahindra,2011,174000,100000,Diesel
21,Honda WR-V i-DTEC VX,Honda,2017,950000,50000,Diesel
22,Maruti Swift Dzire ZDI,Maruti,2015,525000,40000,Diesel
23,Maruti SX4 ZDI,Maruti,2012,600000,72000,Diesel
24,Tata Tigor 2017-2020 XZ,Tata,2018,500000,35000,Petrol
25,Maruti Baleno Delta 1.2,Maruti,2016,575000,45000,Petrol
26,Maruti Alto 800 LXI,Maruti,2017,275000,28000,Petrol
27,Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,300000,70000,Diesel
28,Maruti Wagon R LXI Minor,Maruti,2009,220000,120000,Petrol
29,Maruti Omni E MPI STD BS IV,Maruti,2018,254999,25000,Petrol
30,Maruti Vitara Brezza LDi Option,Maruti,2017,670000,70000,Diesel
31,Fiat Palio 1.2 ELX,Fiat,2003,70000,50000,Petrol
32,Maruti Omni 8 Seater BSIV,Maruti,2012,150000,35000,Petrol
33,Hyundai i20 1.2 Asta Dual Tone,Hyundai,2018,730000,2388,Petrol
34,Maruti Vitara Brezza LDi,Maruti,2017,650000,16200,Diesel
35,Maruti Alto 800 CNG LXI Optional,Maruti,2019,330000,10000,CNG
36,Maruti Alto K10 VXI Airbag,Maruti,2019,366000,15000,Petrol
37,Hyundai Verna VTVT 1.6 SX Option,Hyundai,2019,1149000,5000,Petrol
38,Datsun GO D,Datsun,2016,150000,42000,Petrol
39,Tata Safari DICOR 2.2 LX 4x2,Tata,2011,425000,60000,Diesel
40,Maruti 800 Std,Maruti,2012,150000,76000,Petrol
41,Jeep Compass 1.4 Limited Plus BSIV,Jeep,2019,2100000,5000,Petrol
42,Honda City i VTEC VX,Honda,2018,925000,28900,Petrol
43,Honda City V MT,Honda,2013,425000,86300,Petrol
44,Maruti Swift Dzire VXi AT,Maruti,2018,675000,23300,Petrol
45,Maruti Vitara Brezza VDi,Maruti,2018,819999,32600,Diesel
46,Maruti Alto K10 VXI,Maruti,2018,390000,10300,Petrol
47,Toyota Fortuner 4x4 MT,Toyota,2014,1500000,77000,Diesel
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2013,700000,99000,Diesel
49,Mercedes-Benz B Class B180,Mercedes-Benz,2014,1450000,27800,Diesel
50,Honda Amaze S Diesel,Honda,2015,425000,49800,Diesel
51,Mitsubishi Pajero Sport 4X4,Mitsubishi,2013,1090000,151000,Diesel
52,Honda City i DTEC S,Honda,2015,600000,54700,Diesel
53,Maruti Ciaz Zeta,Maruti,2018,850000,64000,Petrol
54,Honda Jazz VX Diesel,Honda,2015,525000,63000,Diesel
